item_id,name,count
2048,Damage Control II,1487
2281,Multispectrum Shield Hardener II,1466
4405,Drone Damage Amplifier II,1272
22291,Ballistic Control System II,1106
3841,Large Shield Extender II,877
1877,Rapid Light Missile Launcher II,785
28668,Nanite Repair Paste,782
2032,Cap Recharger II,765
10190,Magnetic Field Stabilizer II,728
11269,Energized Adaptive Nano Membrane II,687
25715,Heavy Assault Missile Launcher II,675
2456,Hobgoblin II,560
19739,Cruise Missile Launcher II,544
2410,Heavy Missile Launcher II,497
33450,Rapid Heavy Missile Launcher II,447
2364,Heat Sink II,427
3186,Neutron Blaster Cannon II,423
1422,Shield Power Relay II,419
1248,Capacitor Flux Coil II,415
41218,Republic Fleet Large Cap Battery,411
2488,Warrior II,408
4403,Reactive Armor Hardener,390
519,Gyrostabilizer II,385
31790,Medium Core Defense Field Extender I,380
26374,Large Capacitor Control Circuit II,379
23527,Drone Link Augmentor I,374
29001,Tracking Speed Script,372
1978,Tracking Computer II,362
25948,Large Capacitor Control Circuit I,362
2404,Light Missile Launcher II,349
31812,Medium Core Defense Field Purger II,347
2185,Hammerhead II,343
1447,Capacitor Power Relay II,338
31372,Medium Capacitor Control Circuit I,338
31378,Medium Capacitor Control Circuit II,337
2605,Nanofiber Internal Structure II,330
47911,Entropic Radiation Sink II,326
1405,Inertial Stabilizers II,325
30488,Sisters Core Scanner Probe,315
25861,Salvager I,310
28999,Optimal Range Script,310
15681,Caldari Navy Ballistic Control System,308
11578,Covert Ops Cloaking Device II,304
24427,Drone Link Augmentor II,301
1319,Expanded Cargohold II,299
23707,Hornet EC-300,290
3057,Mega Pulse Laser II,289
33440,'Arbalest' Rapid Heavy Missile Launcher I,287
32787,Salvage Drone I,283
3146,Heavy Neutron Blaster II,279
527,Stasis Webifier II,279
448,Warp Scrambler II,272
3530,Medium Armor Repairer II,271
5973,5MN Y-T8 Compact Microwarpdrive,269
31796,Medium Core Defense Field Extender II,266
1952,Sensor Booster II,259
12058,10MN Afterburner II,255
26914,Large Remote Armor Repairer II,251
1999,Tracking Enhancer II,239
2205,Acolyte II,238
3178,Light Neutron Blaster II,236
8027,Prototype 'Arbalest' Rapid Light Missile Launcher,234
31802,Medium Core Defense Field Purger I,233
7783,Modal Mega Neutron Particle Accelerator I,232
3244,Warp Disruptor II,229
37820,Caldari Navy Shield Power Relay,223
8105,'Arbalest' Heavy Missile Launcher,218
33844,Imperial Navy Drone Damage Amplifier,212
29011,Scan Resolution Script,205
3082,250mm Railgun II,204
31360,Medium Ancillary Current Router I,200
4383,Large Micro Jump Drive,199
17938,Core Probe Launcher I,195
1541,Power Diagnostic System II,194
3520,Heavy Pulse Laser II,189
10631,Rocket Launcher II,188
4349,Pithum C-Type Multispectrum Shield Hardener,188
35659,50MN Y-T8 Compact Microwarpdrive,187
6005,10MN Monopropellant Enduring Afterburner,187
17715,Gila,184
31930,Caldari Navy Large Shield Extender,184
7447,425mm Prototype Gauss Gun,184
